,alt,co,lat,lon,no2,pm2_5,volts,when
0,116,0,51.4932578,-2.5753266,0.04,41,3.04,2015-10-18 08:19:19
1,119,0,51.4929791,-2.5756604,0.08,34,3.01,2015-10-18 08:19:29
2,123,0,51.4930063,-2.5756559,0.05,29,3.03,2015-10-18 08:19:40
3,123,0,51.4930068,-2.5756592,0.05,31,3.13,2015-10-18 08:19:52
4,123,0,51.4930076,-2.5756608,0.05,32,3.13,2015-10-18 08:20:03
5,123,0,51.493008,-2.5756621,0.05,29,3.12,2015-10-18 08:20:14
6,123,0,51.4930081,-2.5756626,0.05,35,3.01,2015-10-18 08:20:25
7,124,0,51.4927164,-2.5759936,0.05,39,3.03,2015-10-18 08:20:36
8,118,0,51.4918061,-2.5769603,0.05,36,3.14,2015-10-18 08:20:47
9,116,0,51.4908041,-2.5780896,0.05,35,3.13,2015-10-18 08:20:58
10,117,0,51.4899818,-2.5793153,0.07,35,3.13,2015-10-18 08:21:09
11,117,0,51.4893189,-2.5805557,0.05,34,3.03,2015-10-18 08:21:20
12,120,0,51.4887921,-2.5815074,0.08,31,3.02,2015-10-18 08:21:31
13,115,0,51.4886602,-2.5816825,0.05,31,3.13,2015-10-18 08:21:42
14,116,0,51.4885355,-2.5820699,0.07,26,3.13,2015-10-18 08:21:53
15,118,0,51.4883401,-2.582627,0.05,31,3.13,2015-10-18 08:22:04
16,117,0,51.4877535,-2.5837801,0.05,30,3.13,2015-10-18 08:22:15
17,118,0,51.4870264,-2.585031,0.07,38,3.02,2015-10-18 08:22:26
18,113,0,51.4869115,-2.5851033,0.05,39,3.03,2015-10-18 08:22:37
19,108,0,51.4869179,-2.5850944,0.05,31,3.14,2015-10-18 08:22:48
20,107,0,51.4867338,-2.5853998,0.07,28,3.14,2015-10-18 08:22:59
21,109,0,51.4857979,-2.5858544,0.07,31,3.14,2015-10-18 08:23:10
22,113,0,51.4854184,-2.5859667,0.1,34,3.03,2015-10-18 08:23:21
23,113,0,51.4854656,-2.5859858,0.07,34,3.03,2015-10-18 08:23:32
24,112,0,51.4852054,-2.5861616,0.05,31,3.15,2015-10-18 08:23:43
25,113,0,51.4844201,-2.5865269,0.07,23,3.14,2015-10-18 08:23:54
26,113,0,51.4839452,-2.5867092,0.05,35,3.14,2015-10-18 08:24:05
27,113,0,51.4831038,-2.5871567,0.05,32,3.14,2015-10-18 08:24:16
28,115,-1,51.4821376,-2.5876736,0.05,32,3.04,2015-10-18 08:24:27
29,115,0,51.4811044,-2.5882209,0.05,30,3.03,2015-10-18 08:24:38
30,109,0,51.4803698,-2.589035,0.07,27,3.15,2015-10-18 08:24:49
31,109,0,51.4798606,-2.5893161,0.07,27,3.13,2015-10-18 08:25:00
32,108,0,51.4790926,-2.5895086,0.07,24,3.14,2015-10-18 08:25:11
33,111,0,51.4781169,-2.5898913,0.07,34,3.01,2015-10-18 08:25:22
34,111,0,51.4772633,-2.5901011,0.07,29,3.05,2015-10-18 08:25:33
35,110,0,51.4771452,-2.5902797,0.07,21,3.14,2015-10-18 08:25:44
36,105,0,51.476243,-2.5905756,0.08,23,3.15,2015-10-18 08:25:55
37,98,0,51.4753164,-2.5910722,0.05,24,3.15,2015-10-18 08:26:06
38,100,0,51.4744302,-2.5915406,0.05,28,3.16,2015-10-18 08:26:17
