,alt,co,lat,lon,no2,pm2_5,volts,when
0,0,0,51.4516055,-2.6043146,0.02,6,3.07,2015-10-17 15:03:28
1,0,0,51.4515814,-2.6042731,0.0,28,3.06,2015-10-17 15:03:39
2,0,0,51.4516071,-2.6042937,0.0,31,3.0,2015-10-17 15:03:50
3,0,0,51.4516148,-2.6042956,0.04,34,2.98,2015-10-17 15:04:01
4,0,0,51.4516387,-2.6042544,0.03,27,3.06,2015-10-17 15:04:12
5,0,0,51.4516406,-2.604243,0.02,29,3.06,2015-10-17 15:04:23
6,0,0,51.4516586,-2.6042233,0.02,29,3.07,2015-10-17 15:04:34
7,0,0,51.4516618,-2.6042177,0.02,35,3.03,2015-10-17 15:04:45
8,0,0,51.4516708,-2.6042104,0.04,34,2.98,2015-10-17 15:04:56
9,0,0,51.4516582,-2.6042376,0.05,31,3.07,2015-10-17 15:05:07
10,0,0,51.4516568,-2.6042471,0.03,29,3.07,2015-10-17 15:05:18
11,0,0,51.4516655,-2.6042368,0.03,28,3.07,2015-10-17 15:05:29
12,0,0,51.4516691,-2.604231,0.03,32,3.06,2015-10-17 15:05:40
13,0,0,51.4516725,-2.6042258,0.05,35,3.0,2015-10-17 15:05:51
14,0,0,51.4516755,-2.6042221,0.05,30,2.97,2015-10-17 15:06:02
15,0,0,51.45168,-2.6042145,0.05,30,3.06,2015-10-17 15:06:13
16,0,0,51.4516805,-2.6042134,0.04,28,3.07,2015-10-17 15:06:24
17,0,0,51.4516679,-2.6042246,0.03,33,3.0,2015-10-17 15:06:35
18,0,0,51.451687,-2.6042207,0.02,37,3.01,2015-10-17 15:06:47
19,0,0,51.4516889,-2.6042186,0.07,36,2.98,2015-10-17 15:06:58
20,0,0,51.451705,-2.6042111,0.07,30,3.07,2015-10-17 15:07:09
21,0,0,51.4516929,-2.6042216,0.07,31,3.07,2015-10-17 15:07:20
22,0,0,51.4517062,-2.6042092,0.05,40,3.07,2015-10-17 15:07:31
23,0,0,51.4516963,-2.6042292,0.08,38,2.93,2015-10-17 15:07:42
24,0,0,51.4516659,-2.6042753,0.04,37,3.0,2015-10-17 15:07:53
25,110,0,51.4513973,-2.6043905,0.0,37,2.98,2015-10-17 15:08:04
26,108,0,51.4514115,-2.6042971,0.0,35,3.05,2015-10-17 15:08:15
27,108,0,51.4513722,-2.6042714,0.0,31,3.06,2015-10-17 15:08:26
28,0,0,51.4516876,-2.6042354,0.0,29,3.07,2015-10-17 15:08:37
29,0,0,51.4516697,-2.6042348,0.0,36,3.01,2015-10-17 15:08:48
30,0,0,51.4516864,-2.6042211,0.01,41,2.99,2015-10-17 15:08:59
31,84,0,51.4515729,-2.6036232,0.0,37,3.07,2015-10-17 15:09:10
32,83,0,51.4515892,-2.6034313,0.0,29,3.05,2015-10-17 15:09:21
33,0,0,51.4517182,-2.6038054,0.0,33,3.06,2015-10-17 15:09:32
34,0,0,51.4516907,-2.6035884,0.0,41,3.07,2015-10-17 15:09:43
35,0,0,51.4516787,-2.6035646,0.0,52,2.99,2015-10-17 15:09:54
36,0,0,51.4518744,-2.6027954,0.04,34,2.98,2015-10-17 15:10:05
37,0,0,51.4519316,-2.6026402,0.02,34,3.07,2015-10-17 15:10:16
38,0,0,51.4519665,-2.6024875,0.02,36,3.08,2015-10-17 15:10:27
39,63,0,51.4518157,-2.6021818,0.09,36,3.08,2015-10-17 15:10:37
40,0,0,51.4519935,-2.6022907,0.1,47,3.01,2015-10-17 15:10:48
41,0,0,51.4519399,-2.6019107,0.09,44,2.97,2015-10-17 15:10:59
42,0,0,51.4519399,-2.6019107,0.07,35,3.09,2015-10-17 15:11:10
43,0,0,51.4531461,-2.6007553,0.07,34,3.08,2015-10-17 15:11:21
44,0,0,51.4532197,-2.6007347,0.05,38,3.07,2015-10-17 15:11:32
45,0,0,51.453176,-2.6006597,0.03,42,3.05,2015-10-17 15:11:43
46,0,0,51.4531238,-2.6005653,0.07,34,2.99,2015-10-17 15:11:54
47,0,0,51.4530405,-2.6003689,0.07,34,2.96,2015-10-17 15:12:05
48,0,0,51.4530406,-2.600376,0.04,31,3.08,2015-10-17 15:12:16
49,0,0,51.4529379,-2.6001378,0.05,27,3.08,2015-10-17 15:12:27
50,0,0,51.452911,-2.6001457,0.03,30,3.07,2015-10-17 15:12:38
51,0,0,51.4528293,-2.5998948,0.04,36,3.0,2015-10-17 15:12:49
52,0,0,51.4528563,-2.5999551,0.07,34,2.97,2015-10-17 15:13:00
53,67,0,51.4525105,-2.599938,0.05,23,3.05,2015-10-17 15:13:11
54,67,0,51.4525118,-2.5999366,0.07,32,3.06,2015-10-17 15:13:23
55,0,0,51.4528986,-2.6000218,0.08,31,3.06,2015-10-17 15:13:33
56,0,0,51.4527719,-2.5997563,0.05,35,3.03,2015-10-17 15:13:44
57,0,0,51.4527787,-2.5996121,0.07,31,2.99,2015-10-17 15:13:56
58,0,0,51.4526815,-2.5995246,0.07,31,3.07,2015-10-17 15:14:07
59,0,0,51.4526819,-2.5995247,0.05,31,3.07,2015-10-17 15:14:18
60,0,0,51.4528011,-2.5992735,0.05,26,3.07,2015-10-17 15:14:29
61,0,0,51.4526977,-2.5989113,0.02,28,3.07,2015-10-17 15:14:40
62,0,0,51.4527342,-2.5988189,0.05,40,3.0,2015-10-17 15:14:51
63,0,0,51.4526045,-2.5984916,0.05,40,2.99,2015-10-17 15:15:02
64,0,0,51.4528813,-2.5980949,0.07,36,3.07,2015-10-17 15:15:13
65,0,0,51.4529343,-2.598092,0.07,36,3.07,2015-10-17 15:15:24
66,0,0,51.4530274,-2.5980812,0.05,40,3.07,2015-10-17 15:15:35
67,0,0,51.4532236,-2.5979109,0.05,48,3.03,2015-10-17 15:15:46
68,0,0,51.4533665,-2.5978131,0.08,46,2.97,2015-10-17 15:15:57
69,70,0,51.4532752,-2.5980216,0.09,45,3.07,2015-10-17 15:16:08
70,71,0,51.4533028,-2.5980728,0.07,35,3.07,2015-10-17 15:16:19
71,72,0,51.4532742,-2.598093,0.05,37,3.07,2015-10-17 15:16:30
72,74,0,51.4532709,-2.598065,0.05,36,3.07,2015-10-17 15:16:41
73,76,0,51.4532591,-2.59804,0.05,42,3.0,2015-10-17 15:16:52
74,75,0,51.4532631,-2.5980519,0.04,34,2.97,2015-10-17 15:17:03
75,75,0,51.4532616,-2.5980475,0.07,34,3.07,2015-10-17 15:17:14
76,75,0,51.4532613,-2.598047,0.03,38,3.07,2015-10-17 15:17:25
77,77,0,51.4532762,-2.5980212,0.05,38,3.07,2015-10-17 15:17:36
78,70,0,51.4534174,-2.5979985,0.05,49,3.02,2015-10-17 15:17:47
