,alt,co,lat,lon,no2,pm2_5,volts,when,pm_2_5_prop,pm_2_5_scaled
2,71,0,51.4497106,-2.5800033,0.02,26,3.05,2015-10-17 08:06:53,-1.90305373106,0.590909090909
3,71,0,51.4497106,-2.5800032,0.02,31,3.06,2015-10-17 08:06:58,-0.778208944306,0.704545454545
4,68,0,51.4496876,-2.5800031,0.01,26,3.03,2015-10-17 08:07:09,-1.90305373106,0.590909090909
5,70,0,51.449418,-2.5798971,0.04,35,3.01,2015-10-17 08:07:20,0.121666885098,0.795454545455
6,70,0,51.4494066,-2.5798973,0.07,43,2.98,2015-10-17 08:07:32,1.92141854391,0.977272727273
7,70,0,51.4494066,-2.5798973,0.05,33,3.06,2015-10-17 08:07:43,-0.328271029604,0.75
8,0,0,51.4494066,-2.5798973,0.04,35,3.05,2015-10-17 08:07:54,0.121666885098,0.795454545455
9,0,0,51.4494066,-2.5798973,0.07,34,3.07,2015-10-17 08:08:05,-0.103302072253,0.772727272727
10,0,0,51.4494066,-2.5798973,0.04,36,3.05,2015-10-17 08:08:16,0.346635842449,0.818181818182
11,0,0,51.4494066,-2.5798973,0.08,39,2.97,2015-10-17 08:08:27,1.0215427145,0.886363636364
12,0,0,51.4488191,-2.5804948,0.09,37,2.96,2015-10-17 08:08:38,0.5716047998,0.840909090909
13,81,0,51.4495329,-2.5804536,0.09,35,3.06,2015-10-17 08:08:49,0.121666885098,0.795454545455
14,78,0,51.4495408,-2.5805279,0.08,33,3.05,2015-10-17 08:09:00,-0.328271029604,0.75
15,79,0,51.4496848,-2.5805159,0.08,36,3.05,2015-10-17 08:09:11,0.346635842449,0.818181818182
16,75,0,51.4497118,-2.5805909,0.04,44,3.0,2015-10-17 08:09:22,2.14638750126,1.0
17,74,0,51.4497029,-2.5808692,0.11,37,2.98,2015-10-17 08:09:33,0.5716047998,0.840909090909
18,75,0,51.4496838,-2.5810386,0.09,30,3.07,2015-10-17 08:09:44,-1.00317790166,0.681818181818
19,72,0,51.4496602,-2.5813074,0.05,34,3.07,2015-10-17 08:09:55,-0.103302072253,0.772727272727
20,0,0,51.4492147,-2.5817667,0.05,38,3.07,2015-10-17 08:10:06,0.796573757151,0.863636363636
21,0,0,51.4491284,-2.5818616,0.05,41,3.05,2015-10-17 08:10:17,1.4714806292,0.931818181818
22,0,0,51.449348,-2.5822415,0.07,37,3.0,2015-10-17 08:10:28,0.5716047998,0.840909090909
23,0,0,51.4491977,-2.5823222,0.04,33,2.97,2015-10-17 08:10:39,-0.328271029604,0.75
