,alt,co,lat,lon,no2,pm2_5,volts
0,0.0,0.0,51.4516022,-2.60429425,0.015,24.75,3.0275
1,0.0,0.0,51.4516022,-2.60429425,0.015,24.75,3.0275
2,0.0,0.0,51.4516095,-2.60428628,0.018,25.2,3.034
3,0.0,0.0,51.4516146833,-2.60427906667,0.0183333333333,25.8333333333,3.03833333333
4,0.0,0.0,51.4516559278,-2.6042425,0.0322222222222,31.8333333333,3.03555555556
5,0.0,0.0,51.4516610579,-2.6042368,0.0352631578947,31.5789473684,3.04052631579
6,0.0,0.0,51.4516701833,-2.60423125833,0.0366666666667,32.4166666667,3.035
7,0.0,0.0,51.4516729077,-2.60422963462,0.0384615384615,32.6153846154,3.03769230769
8,0.0,0.0,51.4516729077,-2.60422963462,0.0384615384615,32.6153846154,3.03769230769
9,0.0,0.0,51.4516701833,-2.60423125833,0.0366666666667,32.4166666667,3.035
10,0.0,0.0,51.4516701833,-2.60423125833,0.0366666666667,32.4166666667,3.035
11,0.0,0.0,51.4516729077,-2.60422963462,0.0384615384615,32.6153846154,3.03769230769
12,0.0,0.0,51.4516729077,-2.60422963462,0.0384615384615,32.6153846154,3.03769230769
13,0.0,0.0,51.4516729077,-2.60422963462,0.0384615384615,32.6153846154,3.03769230769
14,0.0,0.0,51.4516729077,-2.60422963462,0.0384615384615,32.6153846154,3.03769230769
15,0.0,0.0,51.451674276,-2.604228644,0.0388,32.84,3.0368
16,0.0,0.0,51.451674276,-2.604228644,0.0388,32.84,3.0368
17,0.0,0.0,51.4516729077,-2.60422963462,0.0384615384615,32.6153846154,3.03769230769
18,0.0,0.0,51.4516756792,-2.60422804583,0.0395833333333,33.0,3.03583333333
19,0.0,0.0,51.4516756792,-2.60422804583,0.0395833333333,33.0,3.03583333333
20,0.0,0.0,51.4516813111,-2.60422211111,0.0394444444444,33.5,3.02444444444
21,0.0,0.0,51.4516756792,-2.60422804583,0.0395833333333,33.0,3.03583333333
22,0.0,0.0,51.4516813111,-2.60422211111,0.0394444444444,33.5,3.02444444444
23,0.0,0.0,51.451676713,-2.60422712174,0.0391304347826,33.1739130435,3.03260869565
24,0.0,0.0,51.4516701833,-2.60423125833,0.0366666666667,32.4166666667,3.035
25,110.0,0.0,51.4513973,-2.6043905,0.0,37.0,2.98
26,108.0,0.0,51.45139185,-2.60428425,0.0,33.0,3.055
27,108.0,0.0,51.45139185,-2.60428425,0.0,33.0,3.055
28,0.0,0.0,51.4516756792,-2.60422804583,0.0395833333333,33.0,3.03583333333
29,0.0,0.0,51.4516729077,-2.60422963462,0.0384615384615,32.6153846154,3.03769230769
30,0.0,0.0,51.4516756792,-2.60422804583,0.0395833333333,33.0,3.03583333333
31,84.0,0.0,51.4515729,-2.6036232,0.0,37.0,3.07
32,83.0,0.0,51.4515892,-2.6034313,0.0,29.0,3.05
33,0.0,0.0,51.4517182,-2.6038054,0.0,33.0,3.06
34,0.0,0.0,51.4516847,-2.6035765,0.0,46.5,3.03
35,0.0,0.0,51.4516847,-2.6035765,0.0,46.5,3.03
36,0.0,0.0,51.4518649,-2.6028171,0.045,35.0,2.98
37,0.0,0.0,51.4519316,-2.6026402,0.02,34.0,3.07
38,0.0,0.0,51.4519665,-2.6024875,0.02,36.0,3.08
39,63.0,0.0,51.4518157,-2.6021818,0.09,36.0,3.08
40,0.0,0.0,51.4519935,-2.6022907,0.1,47.0,3.01
41,0.0,0.0,51.4519399,-2.6019107,0.08,39.5,3.03
42,0.0,0.0,51.4519399,-2.6019107,0.08,39.5,3.03
43,0.0,0.0,51.4531461,-2.6007553,0.07,34.0,3.08
44,0.0,0.0,51.45321675,-2.60070665,0.05,35.0,3.09
45,0.0,0.0,51.45318915,-2.6006414,0.045,33.5,3.06
46,0.0,0.0,51.45311085,-2.6005669,0.07,35.0,3.045
47,0.0,0.0,51.453051325,-2.60038265,0.055,29.25,3.0325
48,0.0,0.0,51.453051325,-2.60038265,0.055,29.25,3.0325
49,0.0,0.0,51.45293556,-2.60011554,0.056,27.4,3.068
50,0.0,0.0,51.45292445,-2.60014175,0.04,28.5,3.075
